time,P77_ZIT_1244001C,P77_ZIT_1244001D,P77_ZIT_1244002C,P77_ZIT_1244002D,P77_PIT_1244007C,P77_PIT_1244008C,P77_PIT_1244007D,P77_PIT_1244008D,P77_SDY_1210002C,P77_SDY_1210002D
15-nov-22 03:39:00,0,0,8.149999619,20.33749962,29725.04492,29843.83398,41246.58594,41188.83203,On,On
15-nov-22 03:40:00,0,0,8.149999619,20.3406868,29740.31445,29841.64063,41550.95703,41457.01172,On,On
15-nov-22 03:41:00,0,0,8.149999619,20.33124924,29706.7168,29804.93164,40997.54297,40967.91406,On,On
15-nov-22 03:42:00,0,0,8.149999619,20.33749962,29729.35547,29826.48633,41281.24609,41220.08203,On,On
15-nov-22 03:43:00,0,0,8.149999619,20.33749962,29710.92188,29826.48828,40966.78906,40963.97656,On,On
15-nov-22 03:44:00,0,0,8.149999619,20.33749962,29739.74414,29841.56055,41466.74609,41337.58984,On,On
15-nov-22 03:45:00,0,0,8.149999619,20.33443451,29707.88281,29809.47852,41044.21875,41021.02734,On,On
15-nov-22 03:46:00,0,0,8.149999619,20.33430862,29726.2832,29824.29492,41192.15625,41058.93359,On,On
15-nov-22 03:47:00,0,0,8.149999619,20.34375,29773.51758,29878.01172,42258.87109,42051.02734,On,On
15-nov-22 03:48:00,0,0,8.149999619,20.34375,29786.97656,29897.46484,42826.72656,42756.89453,On,On
15-nov-22 03:49:00,0,0,8.149999619,20.33442688,29751.39063,29867.32031,42177.5,42176.62891,On,On
15-nov-22 03:50:00,0,0,8.149999619,20.33749962,29759.98047,29858.65234,42048.6875,41988.16797,On,On
15-nov-22 03:51:00,0,0,8.149999619,20.34375,29798.61914,29901.66992,42735.6875,42603.51172,On,On
15-nov-22 03:52:00,0,0,8.149999619,20.33749962,29819.41211,29912.52344,43042.12891,42955.14063,On,On
15-nov-22 03:53:00,0,0,8.149999619,20.33443451,29751.93945,29858.89844,42008.04688,41873.82031,On,On
15-nov-22 03:54:00,0,0,8.149999619,20.33431244,29726.87695,29839.28125,40940.12891,40930.32813,On,On
15-nov-22 03:55:00,0,0,8.149999619,20.34067917,29751.39063,29865.13867,41386.30469,41303.57031,On,On
