,Unnamed: 0,Unnamed: 0.1,time,oil_well,ZIT_1244002,PIT_1244007,PIT_1244008,SDY_1210002
230,230,230,2022-11-21 23:25:39.608411,well injection D,,32868.6484375,32817.12890625,
231,231,231,2022-11-21 23:25:45.258604,well injection D,21.03125,,,
232,232,232,2022-11-21 23:25:45.742080,well injection C,8.625,29060.099609375,29158.849609375,False
233,233,233,2022-11-21 23:25:45.742080,well injection D,,32868.6484375,32812.828125,
234,234,234,2022-11-21 23:25:51.231440,well injection D,21.03125,,,
235,235,235,2022-11-21 23:25:51.540696,well injection C,8.625,29060.099609375,29158.849609375,False
236,236,236,2022-11-21 23:25:51.540696,well injection D,,32872.94921875,32821.421875,
237,237,237,2022-11-21 23:25:57.176437,well injection D,21.03125,,,
238,238,238,2022-11-21 23:25:57.676179,well injection C,8.625,29072.98046875,29176.029296875,False
239,239,239,2022-11-21 23:25:57.676179,well injection D,,32881.53125,32830.01171875,
240,240,240,2022-11-21 23:26:03.128771,well injection D,21.03125,,,
241,241,241,2022-11-21 23:26:03.503860,well injection C,8.631250381469727,29072.98046875,29171.73046875,False
242,242,242,2022-11-21 23:26:03.503860,well injection D,,32881.53125,32825.7109375,
243,243,243,2022-11-21 23:26:09.092747,well injection D,21.03125,,,
244,244,244,2022-11-21 23:26:09.467276,well injection C,8.625,29038.630859375,29137.380859375,False
245,245,245,2022-11-21 23:26:09.467276,well injection D,,32868.6484375,32817.12890625,
246,246,246,2022-11-21 23:26:15.048261,well injection D,21.03125,,,
247,247,247,2022-11-21 23:26:15.601541,well injection C,8.625,29064.390625,29167.439453125,False
248,248,248,2022-11-21 23:26:15.601541,well injection D,,32890.12109375,32838.6015625,
249,249,249,2022-11-21 23:26:21.142254,well injection D,21.03125,,,
250,250,250,2022-11-21 23:26:21.420609,well injection C,8.631250381469727,29060.099609375,29163.150390625,False
251,251,251,2022-11-21 23:26:21.420609,well injection D,,32881.53125,32825.7109375,
252,252,252,2022-11-21 23:26:27.086963,well injection D,21.03125,,,
253,253,253,2022-11-21 23:26:27.398436,well injection C,8.625,29064.390625,29167.439453125,False
254,254,254,2022-11-21 23:26:27.398436,well injection D,,32890.12109375,32834.30078125,
255,255,255,2022-11-21 23:26:33.051334,well injection D,21.03125,,,
256,256,256,2022-11-21 23:26:33.358267,well injection C,8.625,29051.509765625,29150.259765625,False
257,257,257,2022-11-21 23:26:33.358267,well injection D,,32885.828125,32830.01171875,
258,258,258,2022-11-21 23:26:38.886745,well injection D,21.03125,,,
259,259,259,2022-11-21 23:26:39.181180,well injection C,8.631250381469727,29038.630859375,29141.6796875,False
260,260,260,2022-11-21 23:26:39.181180,well injection D,,32890.12109375,32834.30078125,
261,261,261,2022-11-21 23:26:44.709780,well injection D,21.03125,,,
262,262,262,2022-11-21 23:26:45.136261,well injection C,8.625,29055.80078125,29154.560546875,False
263,263,263,2022-11-21 23:26:45.136261,well injection D,,32907.30078125,32855.76953125,
264,264,264,2022-11-21 23:26:50.556245,well injection D,21.03125,,,
265,265,265,2022-11-21 23:26:50.953009,well injection C,8.625,29051.509765625,29154.560546875,False
266,266,266,2022-11-21 23:26:50.953009,well injection D,,32898.7109375,32851.48046875,
267,267,267,2022-11-21 23:26:56.414165,well injection D,21.03125,,,
268,268,268,2022-11-21 23:26:56.779973,well injection C,8.625,29060.099609375,29158.849609375,False
269,269,269,2022-11-21 23:26:56.779973,well injection D,,32903.0,32851.48046875,
270,270,270,2022-11-21 23:27:02.495121,well injection D,21.03125,,,
271,271,271,2022-11-21 23:27:02.912704,well injection C,8.625,29042.919921875,29141.6796875,False
272,272,272,2022-11-21 23:27:02.912704,well injection D,,32898.7109375,32847.1796875,
273,273,273,2022-11-21 23:27:08.445869,well injection D,21.03125,,,
274,274,274,2022-11-21 23:27:08.727258,well injection C,8.625,29038.630859375,29141.6796875,False
275,275,275,2022-11-21 23:27:08.727258,well injection D,,32915.87890625,32860.05859375,
276,276,276,2022-11-21 23:27:14.295787,well injection D,21.03125,,,
277,277,277,2022-11-21 23:27:14.693474,well injection C,8.625,29042.919921875,29145.970703125,False
278,278,278,2022-11-21 23:27:14.693474,well injection D,,32933.05859375,32877.23828125,
279,279,279,2022-11-21 23:27:20.365324,well injection D,21.03125,,,
280,280,280,2022-11-21 23:27:20.485811,well injection C,8.625,29055.80078125,29154.560546875,False
281,281,281,2022-11-21 23:27:20.485811,well injection D,,32928.76171875,32877.23828125,
282,282,282,2022-11-21 23:27:25.963515,well injection D,21.03125,,,
283,283,283,2022-11-21 23:27:26.307547,well injection C,8.625,29042.919921875,29145.970703125,False
284,284,284,2022-11-21 23:27:26.307547,well injection D,,32920.1796875,32864.359375,
285,285,285,2022-11-21 23:27:32.042014,well injection D,21.03125,,,
286,286,286,2022-11-21 23:27:32.457491,well injection C,8.631250381469727,29038.630859375,29141.6796875,False
287,287,287,2022-11-21 23:27:32.457491,well injection D,,32915.87890625,32864.359375,
288,288,288,2022-11-21 23:27:37.882301,well injection D,21.03125,,,
289,289,289,2022-11-21 23:27:38.421799,well injection C,8.625,29025.75,29124.5,False
290,290,290,2022-11-21 23:27:38.421799,well injection D,,32911.58984375,32860.05859375,
291,291,291,2022-11-21 23:27:43.954128,well injection D,21.03125,,,
292,292,292,2022-11-21 23:27:44.241078,well injection C,8.625,29047.2109375,29150.259765625,False
293,293,293,2022-11-21 23:27:44.241078,well injection D,,32963.109375,32907.30078125,
294,294,294,2022-11-21 23:27:49.881468,well injection D,21.03125,,,
295,295,295,2022-11-21 23:27:50.231538,well injection C,8.625,29025.75,29124.5,False
296,296,296,2022-11-21 23:27:50.231538,well injection D,,32954.53125,32903.0,
297,297,297,2022-11-21 23:27:55.733126,well injection D,21.03125,,,
298,298,298,2022-11-21 23:27:56.196900,well injection C,8.625,29030.0390625,29133.08984375,False
299,299,299,2022-11-21 23:27:56.196900,well injection D,,32941.6484375,32890.12109375,
300,300,300,2022-11-21 23:28:01.811850,well injection D,21.03125,,,
301,301,301,2022-11-21 23:28:02.183284,well injection C,8.631250381469727,29025.75,29133.08984375,False
302,302,302,2022-11-21 23:28:02.183284,well injection D,,32933.05859375,32881.53125,
303,303,303,2022-11-21 23:28:07.881652,well injection D,21.03125,,,
304,304,304,2022-11-21 23:28:08.316815,well injection C,8.625,29047.2109375,29150.259765625,False
305,305,305,2022-11-21 23:28:08.316815,well injection D,,32954.53125,32903.0,
