time,P77_ZIT_1244001C,P77_ZIT_1244001D,P77_ZIT_1244002C,P77_ZIT_1244002D
15-nov-22 07:21:00,0,0,8.181249619,20.25625038
15-nov-22 07:22:00,0,0,8.181249619,20.26558876
15-nov-22 07:23:00,0,0,8.181249619,20.25939941
15-nov-22 07:24:00,0,0,8.1875,20.25625038
15-nov-22 07:25:00,0,0,8.1875,20.25625038
15-nov-22 07:26:00,0,0,8.1875,20.24690628
15-nov-22 07:27:00,0,0,8.193750381,20.24374962
15-nov-22 07:28:00,0,0,8.193750381,20.25
15-nov-22 07:29:00,0,0,8.199999809,20.24690819
15-nov-22 07:30:00,0,0,8.199999809,20.24064827
15-nov-22 07:31:00,0,0,8.203103065,20.24374962
15-nov-22 07:32:00,0,0,8.206250191,20.24374962
15-nov-22 07:33:00,0,0,8.206250191,20.23125076
15-nov-22 07:34:00,0,0,8.212499619,20.24061012
15-nov-22 07:35:00,0,0,8.215600967,20.25
15-nov-22 07:36:00,0,0,8.212499619,20.25
15-nov-22 07:37:00,0,0,8.212499619,20.24374962
15-nov-22 07:38:00,0,0,8.212499619,20.24374962
15-nov-22 07:39:00,0,0,8.212499619,20.24684906
15-nov-22 07:40:00,0,0,8.212499619,20.23749924
15-nov-22 07:41:00,0,0,8.215604782,20.25
15-nov-22 07:42:00,0,0,8.215615273,20.25313377
15-nov-22 07:43:00,0,0,8.21875,20.25313187
15-nov-22 07:44:00,0,0,8.21875,20.24374962
15-nov-22 07:45:00,0,0,8.21875,20.24063301
15-nov-22 07:46:00,0,0,8.225000381,20.24374962
15-nov-22 07:47:00,0,0,8.225000381,20.23749924
15-nov-22 07:48:00,0,0,8.225000381,20.23749924
15-nov-22 07:49:00,0,0,8.231249809,20.23749924
15-nov-22 07:50:00,0,0,8.237500191,20.23749924
15-nov-22 07:51:00,0,0,8.243749619,20.2406311
15-nov-22 07:52:00,0,0,8.25,20.24374962
15-nov-22 07:53:00,0,0,8.25,20.24374962
15-nov-22 07:54:00,0,0,8.25,20.24059868
15-nov-22 07:55:00,0,0,8.256250381,20.23749924
15-nov-22 07:56:00,0,0,8.256250381,20.24374962
15-nov-22 07:57:00,0,0,8.262499809,20.24374962
15-nov-22 07:58:00,0,0,8.265602112,20.24374962
